0.00.493.465 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.613.628 I srv          init: The UI is disabled
0.00.613.632 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.614.806 W srv  llama_server: -----------------
0.00.614.808 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.614.808 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.614.809 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.614.809 W srv  llama_server: -----------------
0.00.616.113 I srv    load_model: loading model '/home/mobrienv/code/nemotron35-bench/models/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-Q4_K_S.gguf'
0.00.989.389 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.11.480.175 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.11.491.315 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.11.491.385 I srv  llama_server: model loaded
0.11.491.392 I srv  llama_server: listening on http://127.0.0.1:8080
0.11.491.393 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.11.491.393 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.11.980.759 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
3.11.452.218 I slot print_timing: id  0 | task 1822 |       total time =   50404.73 ms / 16485 tokens
3.11.452.220 I slot print_timing: id  0 | task 1822 |    graphs reused =       2284
3.11.453.308 I slot      release: id  0 | task 1822 | stop processing: n_tokens = 16489, truncated = 0
3.11.552.791 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 98200478039
3.11.644.535 I slot launch_slot_: id  0 | task 2344 | processing task, is_child = 0
3.15.000.366 I slot print_timing: id  0 | task 2344 | prompt eval time =    2172.01 ms /   391 tokens (    5.56 ms per token,   180.02 tokens per second)
3.15.000.374 I slot print_timing: id  0 | task 2344 |        eval time =    1183.77 ms /    57 tokens (   20.77 ms per token,    48.15 tokens per second)
3.15.000.376 I slot print_timing: id  0 | task 2344 |       total time =    3355.79 ms /   448 tokens
3.15.000.377 I slot print_timing: id  0 | task 2344 |    graphs reused =       2339
3.15.000.864 I slot      release: id  0 | task 2344 | stop processing: n_tokens = 447, truncated = 0
3.15.069.599 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.836 (> 0.100 thold), f_keep = 0.732
3.15.069.974 I slot launch_slot_: id  0 | task 2404 | processing task, is_child = 0
3.17.244.255 I slot print_timing: id  0 | task 2404 | prompt eval time =     942.41 ms /    83 tokens (   11.35 ms per token,    88.07 tokens per second)
3.17.244.262 I slot print_timing: id  0 | task 2404 |        eval time =    1231.84 ms /    57 tokens (   21.61 ms per token,    46.27 tokens per second)
3.17.244.264 I slot print_timing: id  0 | task 2404 |       total time =    2174.25 ms /   140 tokens
3.17.244.265 I slot print_timing: id  0 | task 2404 |    graphs reused =       2394
3.17.244.450 I slot      release: id  0 | task 2404 | stop processing: n_tokens = 447, truncated = 0
3.17.335.644 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.836 (> 0.100 thold), f_keep = 0.732
3.17.335.948 I slot launch_slot_: id  0 | task 2463 | processing task, is_child = 0
3.19.728.536 I slot print_timing: id  0 | task 2463 | prompt eval time =    1241.03 ms /    83 tokens (   14.95 ms per token,    66.88 tokens per second)
3.19.728.544 I slot print_timing: id  0 | task 2463 |        eval time =    1151.53 ms /    57 tokens (   20.20 ms per token,    49.50 tokens per second)
3.19.728.545 I slot print_timing: id  0 | task 2463 |       total time =    2392.56 ms /   140 tokens
3.19.728.547 I slot print_timing: id  0 | task 2463 |    graphs reused =       2449
3.19.728.649 I slot      release: id  0 | task 2463 | stop processing: n_tokens = 447, truncated = 0
3.19.752.603 I srv    operator(): operator(): cleaning up before exit...
